Time,Open,High,Low,Close,Volume,  KDJ.K     ,  KDJ.D     ,mlcadd,mlcdec
20100611,1219.15,1251.84,1210.15,1226.34,0,78.103,78.257,0,0
20100618,1226.5,1262.43,1215.97,1256.57,0,83.994,80.169,0,0
20100625,1260.68,1265.03,1224.4,1255.4,0,86.633,82.324,0,0
20100702,1253.35,1262.45,1196.3,1211.25,0,74.479,79.709,0,0
20100709,1212.31,1214.35,1184.74,1211.2,0,64.867,74.762,0,0
20100716,1209.85,1218,1186,1193,0,52.333,67.285,0,0
20100723,1192.23,1203.87,1175.65,1189.13,0,39.916,58.162,0,0
20100730,1188.24,1194.65,1156.8,1180.65,0,33.956,50.093,0,0
20100806,1180.45,1210.78,1174.45,1205.12,0,37.519,45.902,0,0
20100813,1205.55,1217.5,1190.58,1215.33,0,43.039,44.948,0,0
20100820,1213.6,1237.26,1213.6,1227.25,0,50.39,46.762,0,0
20100827,1226.38,1244,1210.13,1237.65,0,59.102,50.875,0,0
20100903,1235.71,1254.53,1231.65,1246.45,0,69.979,57.243,0,0
20100910,1247.85,1262.43,1236.53,1246.01,0,74.804,63.097,0,0
20100917,1246.05,1282.6,1240.97,1273.7,0,80.845,69.013,0,0
20100924,1278.15,1299.72,1270.65,1296.05,0,86.374,74.8,0,0
20101001,1297.03,1320.51,1282.4,1318.5,0,90.457,80.019,0,0
20101008,1317.41,1364.65,1312.2,1344.6,0,89.799,83.279,0,0
20101015,1347.75,1387.07,1340.18,1368.1,0,89.625,85.394,0,0
20101022,1367.95,1374.8,1315.02,1327.95,0,81.946,84.245,0,0
20101029,1333.43,1359.23,1318.93,1358.9,0,81.922,83.471,0,0
20101105,1360.03,1397.95,1325.48,1393.13,0,86.953,84.631,0,0
20101112,1395.82,1424.25,1359.97,1368.3,0,81.126,83.463,0,0
20101119,1370.05,1376.63,1329.44,1353.05,0,71.966,79.631,0,0
20101126,1355.9,1382.35,1348.34,1362.85,0,66.882,75.381,0,0
20101203,1363.85,1413.75,1352.99,1413.4,0,74.694,75.152,0,0
20101210,1415.05,1430.85,1371.18,1386.55,0,70.381,73.562,0,0
20101217,1383.43,1407.7,1361.06,1374.53,0,64.046,70.39,0,0
20101224,1376.85,1391.98,1372.2,1384.86,0,62.333,67.704,0,0
20101231,1374,1419.1,1373.5,1418.47,0,70.973,68.794,0,0
20110107,1418.49,1423.78,1352.59,1368.75,0,60.236,65.941,0,0
20110114,1369.69,1393.01,1354.98,1359.65,0,50.087,60.657,0,0
20110121,1361.09,1379.12,1337.63,1342.83,0,35.251,52.188,0,0
20110128,1343.65,1352.9,1307.95,1335.28,0,30.913,45.096,0,0
20110204,1339.35,1358.67,1323,1349.08,0,31.764,40.652,0,0
20110211,1346.88,1368.41,1343.37,1356.31,0,35.093,38.799,0,0
20110218,1357.5,1391.75,1353.8,1386.1,0,45.885,41.161,0,0
20110225,1389.59,1417.92,1388.9,1410.1,0,59.987,47.436,0,0
20110304,1409.5,1440.1,1399.85,1430.1,0,70.802,55.225,0,0
20110311,1433.2,1444.5,1402.75,1417.6,0,73.968,61.473,0,0
20110318,1429.96,1430.47,1382.45,1418.3,0,76.25,66.398,0,0
20110325,1424.46,1447.5,1416.95,1429.5,0,79.867,70.888,0,0
20110401,1425.85,1439.3,1409.95,1428.4,0,81.464,74.413,0,0
20110408,1426.75,1474.8,1426.65,1474.4,0,87.541,78.789,0,0
20110415,1473.59,1487.9,1445.3,1486.5,0,91.346,82.975,0,0
20110422,1483.85,1512.5,1477.15,1507.68,0,92.995,86.315,0,0
20110429,1509.45,1569,1492.8,1563,0,94.258,88.963,0,0
20110506,1558.2,1574.4,1462.3,1493.5,0,82.123,86.683,0,0
20110513,1492.5,1526.2,1478.04,1494.94,0,74.283,82.55,0,0
20110520,1488.4,1515.72,1471.64,1511.8,0,70.167,78.422,0,0
20110527,1511.94,1538.39,1503.99,1536.19,0,72.366,76.404,0,0
20110603,1536.04,1549.98,1519.3,1541.9,0,74.245,75.684,0,0
20110610,1542.7,1553.59,1526.09,1531.34,0,71.712,74.36,0,0
20110617,1530.09,1542.07,1510.99,1539.24,0,70.687,73.136,0,0
20110624,1539.99,1558.19,1498.44,1502.44,0,59.06,68.444,0,0
20110701,1499.93,1513.94,1478.28,1487.59,0,46.893,61.26,0,0
20110708,1486.53,1545.39,1486,1543.99,0,59.127,60.549,0,0
20110715,1544.04,1594.29,1540.73,1593.39,0,72.507,64.535,0,0
20110722,1593.43,1610.14,1581.09,1601.14,0,79.396,69.489,0,0
20110729,1605.02,1632.68,1599.19,1626.63,0,84.958,74.645,0,0
20110805,1616.59,1681.94,1608.99,1656.87,0,85.869,78.386,0,0
20110812,1662.22,1814.4,1662.17,1746.45,0,83.84,80.204,0,0
20110819,1744.06,1877.33,1727.99,1851.55,0,87.073,82.494,0,0
20110826,1860.92,1911.89,1702.69,1827.6,0,84.903,83.297,0,0
20110902,1836.23,1884.46,1775.9,1882.6,0,87.643,84.745,0,0
20110909,1877.55,1920.78,1792.74,1855.3,0,86.019,85.17,0,0
20110916,1861.8,1862.05,1762.49,1811.35,0,79.941,83.427,0,0
20110923,1817.64,1827.9,1628.58,1656.35,0,59.219,75.357,0,0
20110930,1656.64,1677,1532.64,1623.5,0,47.282,65.999,0,0
20111007,1626.39,1678.55,1595.49,1637.65,0,40.54,57.513,0,0
20111014,1638.8,1692,1637.52,1680.4,0,39.716,51.58,0,0
20111021,1682.18,1694.91,1603.72,1641.82,0,35.854,46.338,0,0
20111028,1641.69,1752.34,1635.34,1743.1,0,41.977,44.884,0,0
20111104,1743.3,1767.56,1681,1754.23,0,47.015,45.594,0,0
20111111,1753.72,1802.54,1735.77,1788.08,0,57.191,49.46,0,0
20111118,1787.84,1796.03,1710.4,1723.4,0,59.663,52.861,0,0
20111125,1723.39,1726.36,1666.67,1680.25,0,58.006,54.576,0,0
20111202,1684.08,1762.97,1683.23,1746.2,0,62.934,57.362,0,0
20111209,1746.83,1755.66,1701.86,1710.95,0,59.933,58.219,0,0
20111216,1712.51,1714.5,1561.4,1598.43,0,45.074,53.837,0,0
20111223,1599.03,1618.34,1583.3,1606.41,0,36.271,47.982,0,0
20111230,1609.24,1610.84,1522.55,1564.45,0,29.169,41.711,0,0
20120106,1560.09,1631.05,1560.09,1616.64,0,30.648,38.023,0,0
20120113,1615.99,1661.89,1604.75,1638.78,0,34.599,36.882,0,0
20120120,1634.4,1670.02,1631.36,1666.05,0,42.961,38.908,0,0
20120127,1664.5,1739.39,1648.99,1738.21,0,58.541,45.453,0,0
20120202,1736.32,1760.96,1716.13,1759.13,0,72.105,54.337,0,0
20120210,1727.88,1752.4,1704.57,1721.1,0,75.83,61.501,0,0
20120217,1721.7,1737.18,1705.2,1723,0,78.58,67.194,0,0
20120224,1726.6,1787.19,1723.17,1772.42,0,83.859,72.749,0,0
20120302,1774.93,1790.51,1686.74,1710.9,0,77.723,74.407,0,0
20120309,1710.9,1716.5,1662.98,1713.35,0,71.303,73.372,0,0
20120316,1713.72,1714.1,1634.39,1659.5,0,53.429,66.725,0,0
20120323,1659.05,1669.71,1627.97,1661.25,0,42.444,58.631,0,0
20120330,1662.36,1696.84,1645.07,1667.84,0,36.473,51.245,0,0
20120406,1669.86,1683.27,1612.22,1630.5,0,27.733,43.408,0,0
20120413,1642.7,1679.95,1631.79,1657.9,0,27.029,37.948,0,0
20120420,1656.47,1657.9,1630.97,1642.7,0,23.718,33.205,0,0
20120427,1641.5,1667.4,1623.14,1662.25,0,25.166,30.525,0,0
20120504,1661.84,1671.18,1626.57,1641.8,0,26.232,29.094,0,0
20120511,1638.43,1642.47,1572.72,1578.8,0,18.922,25.703,0,0
20120518,1585.1,1597.49,1526.93,1592.28,0,25.435,25.614,0,0
20120525,1590.34,1599.37,1533.47,1572.45,0,25.887,25.705,0,0
20120601,1572.9,1629.89,1532.75,1623.41,0,37.828,29.746,0,0
20120608,1624.98,1640.81,1556.47,1592.98,0,39.607,33.033,0,0
20120615,1601.63,1633.18,1581.74,1626.83,0,49.49,38.519,0,0
20120622,1628.8,1633.18,1558.13,1572.2,0,43.454,40.164,0,0
20120629,1571.83,1606.84,1547.93,1597,0,45.161,41.83,0,0
20120706,1598.23,1624.71,1576.64,1583.2,0,46.341,43.334,0,0
20120713,1581.63,1600.97,1554.48,1589.05,0,49.077,45.248,0,0
20120720,1591.03,1598.74,1567.88,1583.96,0,48.515,46.337,0,0
20120727,1581.9,1629.13,1563.47,1622.9,0,60.152,50.942,0,0
20120803,1622.63,1627.5,1584.08,1602.93,0,59.84,53.908,0,0
20120810,1603.46,1626.34,1601.8,1619.75,0,67.975,58.597,0,0
20120817,1621.52,1625.5,1590.23,1615.1,0,71.581,62.925,0,0
20120824,1615.53,1674.81,1609.63,1670.05,0,79.803,68.551,0,0
20120831,1670.45,1692.64,1646.04,1691.15,0,86.176,74.426,0,0
20120907,1690.75,1742.01,1685.4,1735.3,0,89.591,79.481,0,0
20120914,1735.16,1777.69,1719.85,1770,0,91.864,83.609,0,0
20120921,1761.91,1787.37,1751.97,1772.55,0,92.37,86.529,0,0
20120928,1772.04,1783.07,1736.28,1771.95,0,92.385,88.481,0,0
20121005,1770.88,1795.75,1763.27,1780.23,0,92.406,89.789,0,0
20121012,1779.65,1779.77,1752.01,1753.4,0,88.069,89.216,0,0
20121019,1753.29,1753.53,1716.23,1721.13,0,78.682,85.704,0,0
20121026,1720.25,1730.09,1698.45,1710.82,0,66.878,79.429,0,0
20121102,1710.65,1726.85,1673.94,1677.3,0,45.505,68.121,0,0
20121109,1676.4,1738.63,1672.24,1730.7,0,46.114,60.785,0,0
20121116,1731.8,1737.85,1704.64,1713.38,0,41.846,54.472,0,0
20121123,1713.55,1754.53,1713.45,1750.48,0,49.013,52.652,0,0
20121130,1751.11,1752.06,1705.72,1714.4,0,44.053,49.786,0,0
20121207,1715.1,1722.59,1683.62,1703.77,0,39.143,46.238,0,0
20121214,1702.32,1723.11,1689.64,1695.57,0,35.546,42.674,0,0
20121221,1697.55,1702.95,1635.55,1656.48,0,29.561,38.303,0,0
20121228,1657.15,1667.8,1651.7,1655.51,0,25.299,33.968,0,0
20130104,1655.93,1694.6,1625.81,1655.15,0,24.464,30.8,0,0
20130111,1657.38,1678.6,1643.47,1662.43,0,25.792,29.131,0,0
20130118,1659.65,1695.55,1659.43,1683.69,0,32.184,30.149,0,0
20130125,1684.83,1695.89,1655.87,1658.55,0,30.1,30.132,0,0
20130201,1658.38,1683.25,1651.78,1667.07,0,34.202,31.489,0,0
20130208,1668.71,1684.81,1661.86,1667.25,0,36.998,33.325,0,0
20130211,1666.1,1669.13,1644.76,1650.41,0,35.295,33.982,0,0
20130222,1609,1618.37,1555.78,1580.09,0,29.314,32.426,0,0
20130301,1580.2,1619.11,1566.14,1575.68,0,24.277,29.709,0,0
20130308,1578.77,1585.38,1563.25,1578.81,0,21.664,27.027,0,0
20130315,1578.64,1599.09,1575.35,1591.8,0,23.012,25.689,0,0
20130322,1597.76,1616.39,1591.6,1608.65,0,27.919,26.432,0,0
20130329,1608.2,1613.5,1589.68,1593.79,0,28.432,27.099,0,0
20130405,1597.4,1603.74,1540,1580.8,0,28.347,27.515,0,0
20130412,1581.09,1590.25,1481.37,1482.5,0,19.098,24.709,0,0
20130419,1480.89,1495.39,1321.66,1403.35,0,21.887,23.768,0,0
20130426,1407.71,1484.73,1403.76,1461.22,0,30.231,25.923,0,0
20130503,1465.99,1487.82,1440.28,1470.28,0,36.962,29.603,0,0
20130510,1469.87,1478.86,1419.6,1448.52,0,38.989,32.731,0,0
20130517,1446.85,1446.85,1355.5,1360.2,0,30.352,31.938,0,0
20130524,1363.71,1414.45,1338.57,1386.13,0,27.598,30.491,0,0
20130531,1387.21,1421.5,1373.61,1387.35,0,26.161,29.048,0,0
20130607,1389.03,1423.68,1377.35,1382.53,0,24.995,27.697,0,0
20130614,1383.07,1394.76,1365.8,1390.15,0,29.804,28.4,0,0
20130621,1390.79,1391.8,1269.41,1295.93,0,23.917,26.905,0,0
20130628,1298.29,1301.25,1180.71,1234.07,0,21.736,25.182,0,0
20130705,1233.34,1267.28,1208.18,1222.68,0,19.183,23.183,0,0
20130712,1222.24,1298.45,1215.65,1285,0,25.851,24.072,0,0
20130719,1284.82,1300.35,1270.26,1295.45,0,32.975,27.04,0,0
20130726,1296.95,1346.59,1295.86,1332.73,0,42.839,32.306,0,0
20130802,1333.2,1338.82,1283.13,1311.68,0,46.527,37.047,0,0
20130809,1312.44,1320.16,1272.7,1314.08,0,51.788,41.96,0,0
20130816,1314.08,1379.63,1314.08,1376.08,0,65.376,49.766,0,0
20130823,1380.1,1399.6,1352.42,1397.3,0,76.567,58.699,0,0
20130830,1398.63,1433.49,1389.62,1394.78,0,78.651,65.35,0,0
20130906,1382.15,1416,1364.48,1391.35,0,79.319,70.006,0,0
20130913,1391.4,1393.93,1304.97,1325.61,0,64.183,68.065,0,0
20130920,1334.01,1375.31,1291.56,1325.5,0,53.734,63.288,0,0
20130927,1319.7,1344.13,1305.63,1336.21,0,48.989,58.522,0,0
20131004,1341.52,1343.13,1277.58,1310.32,0,40.458,52.501,0,0
20131011,1314.47,1329.77,1261.86,1272,0,28.942,44.648,0,0
20131018,1270.09,1326.52,1251.69,1315.72,0,31.034,40.11,0,0
20131025,1316.65,1355.58,1310.17,1350.45,0,38.797,39.672,0,0
20131101,1348.69,1361.74,1305.82,1315.95,0,38.901,39.415,0,0
20131108,1312.89,1325.92,1281.19,1288.13,0,34.474,37.768,0,0
20131115,1287.3,1293.91,1261.43,1289.75,0,33.245,36.26,0,0
20131122,1288.92,1289.49,1236.72,1243.5,0,23.971,32.164,0,0
20131129,1242.1,1258.02,1227.57,1251.69,0,21.973,28.767,0,0
20131206,1250.66,1251.37,1211.46,1228.82,0,18.499,25.345,0,0
20131213,1230.1,1267.88,1220.1,1238.05,0,18.231,22.973,0,0
20131220,1237.59,1252.1,1187.24,1202.69,0,15.105,20.351,0,0
20131227,1202.82,1219.05,1192.6,1212.69,0,14.932,18.544,0,0
20140103,1212.8,1240.2,1182.33,1236.9,0,22.622,19.904,0,0
20140110,1236.4,1248.75,1214.89,1248.22,0,34.766,24.858,0,0
20140117,1246.6,1255.08,1234,1253.6,0,45.346,31.687,0,0
20140124,1256.6,1272.52,1231.2,1269.68,0,62.515,41.963,0,0
20140131,1268.5,1278.72,1237.8,1243.7,0,62.899,48.942,0,0
20140207,1243.7,1274.19,1240.5,1266.95,0,71.196,56.36,0,0
20140214,1266.6,1321.15,1264.7,1318.1,0,80.065,64.261,0,0
20140221,1327.09,1332.14,1307.15,1323.63,0,84.816,71.113,0,0
20140228,1323,1345.37,1318.5,1326.39,0,85.997,76.074,0,0
20140307,1325.8,1354.67,1325.8,1339.53,0,87.054,79.734,0,0
20140314,1338.76,1387.8,1327.94,1382.63,0,90.269,83.246,0,0
20140321,1382.28,1392.05,1320.39,1333.98,0,81.479,82.657,0,0
20140328,1332.05,1334.57,1285.55,1294.77,0,66.63,77.315,0,0
20140404,1294.3,1306.55,1277.55,1302.7,0,58.101,70.91,0,0
20140411,1303.54,1324.25,1295.51,1317.93,0,52.667,64.829,0,0
20140417,1317.98,1330.93,1285.91,1294.73,0,40.113,56.59,0,0
20140425,1298,1304.91,1268.35,1302.83,0,36.033,49.738,0,0
20140502,1302.72,1306.33,1273.57,1299.05,0,32.295,43.923,0,0
20140509,1300.08,1315.41,1284.65,1288.16,0,26.868,38.238,0,0
20140516,1288.8,1308.7,1277.68,1292.8,0,24.501,33.659,0,0
20140523,1292.48,1305.25,1283.03,1292.11,0,28.294,31.871,0,0
20140530,1292.32,1295.13,1242.09,1249.13,0,21.504,28.415,0,0
20140606,1250,1257.65,1240.7,1252.67,0,18.758,25.196,0,0
20140613,1252.54,1277.75,1250,1276.83,0,25.853,25.415,0,0
20140620,1276.7,1321.9,1257.95,1314,0,47.325,32.718,0,0
20140627,1314.23,1325.68,1307.5,1318.5,0,62.067,42.501,0,0
20140704,1315.7,1332.18,1309.15,1319.3,0,70.018,51.674,0,0
20140711,1317.5,1344.92,1311.65,1338.4,0,77.927,60.425,0,0
20140718,1337.55,1339.51,1292,1310.3,0,74.212,65.02,0,0
20140725,1310.68,1318.39,1287.5,1307.8,0,70.936,66.992,0,0
20140801,1307.35,1312.05,1279.75,1293.6,0,64.21,66.065,0,0
20140808,1293.72,1322.68,1282.4,1309.3,0,63.631,65.253,0,0
20140815,1308.31,1319.25,1292.4,1304.5,0,60.262,63.59,0,0
20140822,1303.36,1303.59,1272.85,1281,0,43.944,57.041,0,0
20140829,1279.6,1296.51,1268.8,1287,0,37.266,50.449,0,0
20140905,1287.1,1289.87,1257.15,1268.2,0,29.041,43.313,0,0
20140912,1268.09,1271.75,1227.35,1228.9,0,19.821,35.482,0,0
20140919,1229.2,1241.94,1213.55,1216,0,13.962,28.309,0,0
20140926,1215.12,1235.6,1206.65,1217.94,0,12.552,23.057,0,0
20141003,1218.61,1223.12,1189.8,1191.12,0,8.699,18.271,0,0
20141010,1190.73,1233.25,1182.8,1222.95,0,15.607,17.383,0,0
20141017,1231.8,1249.5,1221.74,1237.91,0,25.613,20.126,0,0
20141024,1238.69,1255.04,1226.2,1230.9,0,31.176,23.809,0,0
20141031,1228.27,1235.31,1161.15,1172.7,0,23.775,23.798,0,0
20141107,1170.8,1178.64,1131.35,1177.37,0,26.776,24.791,0,0
20141114,1176.4,1193.55,1146,1188.33,0,33.206,27.596,0,0
20141121,1188.3,1207.65,1174.9,1201.3,0,40.988,32.06,0,0
20141128,1200.4,1204.18,1165.1,1166.97,0,36.925,33.682,0,0
20141205,1157.71,1221.1,1142.67,1191.95,0,40.948,36.104,0,0
20141212,1190.7,1238.17,1187,1222.32,0,51.814,41.34,0,0
20141219,1222.18,1224.17,1183.7,1195.47,0,51.822,44.834,0,0
20141226,1195.38,1203.21,1170.64,1195.8,0,54.66,48.11,0,0
20150102,1194.11,1210.3,1167.45,1188.37,0,54.233,50.151,0,0
20150109,1188.29,1223.92,1177.96,1223.09,0,64.225,54.842,0,0
20150116,1223.1,1281.99,1217.65,1279.59,0,75.576,61.754,0,0
20150123,1280.14,1307.15,1272.1,1294.02,0,81.056,68.188,0,0
20150130,1293.23,1299.09,1251.8,1283.13,0,82.503,72.96,0,0
20150206,1282.05,1285.4,1228.15,1233.67,0,70.803,72.241,0,0
20150213,1236.02,1245.82,1216.61,1229.42,0,61.988,68.823,0,0
20150220,1227.85,1236.42,1197.4,1201.75,0,49.51,62.385,0,0
20150227,1203.51,1219.89,1190.29,1212.92,0,43.856,56.209,0,0
20150306,1213.74,1223.19,1163.65,1167,0,30.015,47.478,0,0
20150313,1170.65,1175.29,1147.25,1158.03,0,22.258,39.071,0,0
20150320,1156.88,1187.83,1142.65,1182.36,0,22.885,33.676,0,0
20150327,1185.04,1219.53,1179.15,1198.61,0,27.18,31.511,0,0
20150403,1198.8,1208.48,1178.35,1202.53,0,32.103,31.708,0,0
20150410,1214.96,1224.14,1192.55,1207.53,0,42.364,35.26,0,0
20150417,1206.85,1209.45,1183.8,1204.03,0,50.062,40.194,0,0
20150424,1204.59,1209.04,1175.16,1179.39,0,48.403,42.93,0,0
20150501,1179.57,1214.9,1169.92,1178.17,0,46.798,44.22,0,0
20150508,1178.4,1199.63,1177.56,1188.3,0,49.872,46.104,0,0
20150515,1188.67,1227.11,1178.89,1224.01,0,65.358,52.522,0,0
20150522,1223.2,1232.29,1201.5,1206.08,0,62.897,55.98,0,0
20150529,1204.68,1208.63,1180.62,1190.05,0,52.69,54.883,0,0
20150605,1190.58,1204.23,1162.75,1171.68,0,39.407,49.725,0,0
20150612,1170.01,1192.26,1169.17,1181.46,0,35.24,44.896,0,0
20150619,1180.76,1205.68,1172.77,1200.08,0,41.387,43.727,0,0
20150626,1199.91,1200.95,1168.66,1175.27,0,33.593,40.349,0,0
20150703,1184.16,1187.88,1157.03,1168.62,0,27.528,36.075,0,0
20150710,1174.54,1174.73,1147.17,1163.21,0,24.634,32.261,0,0
20150717,1163.07,1164.52,1131.17,1134.24,0,17.434,27.319,0,0
20150724,1133.27,1133.38,1077.36,1099.06,0,17.133,23.924,0,0
20150731,1099.11,1104.89,1079.96,1095.62,0,16.165,21.338,0,0
20150807,1095.55,1099.41,1080.97,1094.05,0,15.113,19.263,0,0
20150814,1094.31,1126.63,1089.68,1114.91,0,19.829,19.452,0,0
20150821,1114.01,1168.16,1109.63,1160.81,0,35.727,24.877,0,0
20150828,1160.53,1169.88,1117.68,1133.55,0,40.765,30.173,0,0
20150904,1132.96,1147.84,1117.15,1121.75,0,42.373,34.239,0,0
20150911,1123.28,1126.62,1098.73,1107.64,0,39.158,35.879,0,0
20150918,1107.61,1141.62,1102.55,1139.17,0,48.374,40.044,0,0
20150925,1139.18,1156.63,1121.26,1145.91,0,56.697,45.595,0,0
20151002,1145.22,1148.17,1104.59,1137.82,0,59.112,50.101,0,0
